"pressure","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
333102.711297756,1,0,625,0,0
333102.711297756,1,0.600000023841858,625,0.600000023841858,0
333102.711297756,1,1.20000004768372,625,1.20000004768372,0
333102.711297756,1,1.79999995231628,625,1.79999995231628,0
333102.711297756,1,2.40000009536743,625,2.40000009536743,0
333102.711297756,1,3,625,3,0
333102.711297756,1,3.59999990463257,625,3.59999990463257,0
333102.711297756,1,4.19999980926514,625,4.19999980926514,0
333102.711297756,1,4.80000019073486,625,4.80000019073486,0
333102.711297756,1,5.40000009536743,625,5.40000009536743,0
333102.711297756,1,6,625,6,0
333102.711297756,1,6.59999990463257,625,6.59999990463257,0
333102.711297756,1,7.19999980926514,625,7.19999980926514,0
379986.8592996,1,7.80000019073486,625,7.80000019073486,0
379986.8592996,1,8.39999961853027,625,8.39999961853027,0
379986.8592996,1,9,625,9,0
379986.8592996,1,9.60000038146973,625,9.60000038146973,0
379986.8592996,1,10.1999998092651,625,10.1999998092651,0
379986.8592996,1,10.8000001907349,625,10.8000001907349,0
379986.8592996,1,11.3999996185303,625,11.3999996185303,0
379986.8592996,1,12,625,12,0
379986.8592996,1,12.6000003814697,625,12.6000003814697,0
379986.8592996,1,13.1999998092651,625,13.1999998092651,0
379986.8592996,1,13.8000001907349,625,13.8000001907349,0
379986.8592996,1,14.3999996185303,625,14.3999996185303,0
379986.8592996,1,15,625,15,0
379986.8592996,1,15.6000003814697,625,15.6000003814697,0
379986.8592996,1,16.2000007629395,625,16.2000007629395,0
379986.8592996,1,16.7999992370605,625,16.7999992370605,0
386299.700375194,1,17.3999996185303,625,17.3999996185303,0
386299.700375194,1,18,625,18,0
386299.700375194,1,18.6000003814697,625,18.6000003814697,0
386299.700375194,1,19.2000007629395,625,19.2000007629395,0
386299.700375194,1,19.7999992370605,625,19.7999992370605,0
386299.700375194,1,20.3999996185303,625,20.3999996185303,0
386299.700375194,1,21,625,21,0
386299.700375194,1,21.6000003814697,625,21.6000003814697,0
386299.700375194,1,22.2000007629395,625,22.2000007629395,0
386299.700375194,1,22.7999992370605,625,22.7999992370605,0
344015.701313962,1,23.3999996185303,625,23.3999996185303,0
344015.701313962,1,24,625,24,0
344015.701313962,1,24.6000003814697,625,24.6000003814697,0
344015.701313962,1,25.2000007629395,625,25.2000007629395,0
344015.701313962,1,25.7999992370605,625,25.7999992370605,0
344015.701313962,1,26.3999996185303,625,26.3999996185303,0
344015.701313962,1,27,625,27,0
344015.701313962,1,27.6000003814697,625,27.6000003814697,0
344015.701313962,1,28.2000007629395,625,28.2000007629395,0
344015.701313962,1,28.7999992370605,625,28.7999992370605,0
344015.701313962,1,29.3999996185303,625,29.3999996185303,0
344015.701313962,1,30,625,30,0
344015.701313962,1,30.6000003814697,625,30.6000003814697,0
344015.701313962,1,31.2000007629395,625,31.2000007629395,0
344015.701313962,1,31.7999992370605,625,31.7999992370605,0
344015.701313962,1,32.4000015258789,625,32.4000015258789,0
353659.813569991,1,33,625,33,0
353659.813569991,1,33.5999984741211,625,33.5999984741211,0
353659.813569991,1,34.2000007629395,625,34.2000007629395,0
353659.813569991,1,34.7999992370605,625,34.7999992370605,0
353659.813569991,1,35.4000015258789,625,35.4000015258789,0
353659.813569991,1,36,625,36,0
353659.813569991,1,36.5999984741211,625,36.5999984741211,0
353659.813569991,1,37.2000007629395,625,37.2000007629395,0
353659.813569991,1,37.7999992370605,625,37.7999992370605,0
353659.813569991,1,38.4000015258789,625,38.4000015258789,0
353659.813569991,1,39,625,39,0
353659.813569991,1,39.5999984741211,625,39.5999984741211,0
353659.813569991,1,40.2000007629395,625,40.2000007629395,0
353659.813569991,1,40.7999992370605,625,40.7999992370605,0
353659.813569991,1,41.4000015258789,625,41.4000015258789,0
353659.813569991,1,42,625,42,0
353659.813569991,1,42.5999984741211,625,42.5999984741211,0
353659.813569991,1,43.2000007629395,625,43.2000007629395,0
353659.813569991,1,43.7999992370605,625,43.7999992370605,0
399689.409256604,1,44.4000015258789,625,44.4000015258789,0
399689.409256604,1,45,625,45,0
408979.704213436,1,45.5999984741211,625,45.5999984741211,0
